CODRE;NOMRE;NIVEL;COD_TCE;CODRENUMERO;NOMREC;VALIDO;TIPO;IMPORTADO;CODRE_ORIGEM;ENVIADO_TCE;CONTA_SICONFI;CORRELACIONADO;ALTERADO_TCE;N1;N2;N3;N4;N5;N6;N7;N8;N9;N10;PERMITE_DESDOBRO;N11;CONTA_MATRIZ;EXCLUIDO;PK_RECTAB;DB;
1219.99.2.0.00.00;DEMAIS CONT.SOCIAIS NÃO ARREC.NÃO PROJ.RFB-PARCELAMENTO;6;;121999200000;DEMAIS CONTRIBUIÇÕES SOCIAIS NÃO ARRECADADAS E NÃO PROJETADAS PELA RFB – PARCELAMENTOS;S;S;S;1219.99.2.0.00.00;;;;;1000.00.0.0.00.00;1200.00.0.0.00.00;1210.00.0.0.00.00;1219.00.0.0.00.00;1219.99.0.0.00.00;1219.99.2.0.00.00;1219.99.2.0.00.00;1219.99.2.0.00.00;1219.99.2.0.00.00;;;;;;24000000000000622;1;
1219.99.2.1.00.00;DEM.CONT.SOC.NÃO ARREC.NÃO PROJ.RFB-PARC.PRINCIPAL;7;;121999210000;DEMAIS CONTRIBUIÇÕES SOCIAIS NÃO ARRECADADAS E NÃO PROJETADAS PELA RFB – PARCELAMENTOS – PRINCIPAL;S;A;S;1219.99.2.1.00.00;;;;;1000.00.0.0.00.00;1200.00.0.0.00.00;1210.00.0.0.00.00;1219.00.0.0.00.00;1219.99.0.0.00.00;1219.99.2.0.00.00;1219.99.2.1.00.00;1219.99.2.1.00.00;1219.99.2.1.00.00;;;;;;24000000000000623;1;
1219.99.2.2.00.00;DEM.CONT.SOC.NÃO ARREC.NÃO PROJ.RFB-PARC.-MULTAS JUROS;7;;121999220000;DEMAIS CONTRIBUIÇÕES SOCIAIS NÃO ARRECADADAS E NÃO PROJETADAS PELA RFB – PARCELAMENTOS – MULTAS E JUROS;S;A;S;1219.99.2.2.00.00;;;;;1000.00.0.0.00.00;1200.00.0.0.00.00;1210.00.0.0.00.00;1219.00.0.0.00.00;1219.99.0.0.00.00;1219.99.2.0.00.00;1219.99.2.2.00.00;1219.99.2.2.00.00;1219.99.2.2.00.00;;;;;;24000000000000624;1;
1219.99.2.3.00.00;DEM.CONT.SOC.NÃO ARREC.NÃO PROJ.RFB-PARC.-DÍVIDA ATIVA;7;;121999230000;DEMAIS CONTRIBUIÇÕES SOCIAIS NÃO ARRECADADAS E NÃO PROJETADAS PELA RFB – PARCELAMENTOS – DÍVIDA ATIVA;S;A;S;1219.99.2.3.00.00;;;;;1000.00.0.0.00.00;1200.00.0.0.00.00;1210.00.0.0.00.00;1219.00.0.0.00.00;1219.99.0.0.00.00;1219.99.2.0.00.00;1219.99.2.3.00.00;1219.99.2.3.00.00;1219.99.2.3.00.00;;;;;;24000000000000625;1;
1219.99.2.4.00.00;DEM.CONT.SOC.NÃO ARREC.NÃO PROJ.RFB-PARC.-D.ATIVA M/JUROS;7;;121999240000;DEMAIS CONTRIBUIÇÕES SOCIAIS NÃO ARRECADADAS E NÃO PROJETADAS PELA RFB – PARCELAMENTOS – DÍVIDA ATIVA – MULTAS E JUROS;S;A;S;1219.99.2.4.00.00;;;;;1000.00.0.0.00.00;1200.00.0.0.00.00;1210.00.0.0.00.00;1219.00.0.0.00.00;1219.99.0.0.00.00;1219.99.2.0.00.00;1219.99.2.4.00.00;1219.99.2.4.00.00;1219.99.2.4.00.00;;;;;;24000000000000626;1;
1219.99.2.5.00.00;DEM.CONT.SOC.NÃO ARREC.NÃO PROJ.RFB-PARC.-MULTAS;7;;121999250000;DEMAIS CONTRIBUIÇÕES SOCIAIS NÃO ARRECADADAS E NÃO PROJETADAS PELA RFB – PARCELAMENTOS – MULTAS COM DESTINAÇÃO DIFERENCIADA POR LEGISLAÇÃO PERTINENTE;S;A;S;1219.99.2.5.00.00;;;;;1000.00.0.0.00.00;1200.00.0.0.00.00;1210.00.0.0.00.00;1219.00.0.0.00.00;1219.99.0.0.00.00;1219.99.2.0.00.00;1219.99.2.5.00.00;1219.99.2.5.00.00;1219.99.2.5.00.00;;;;;;24000000000000627;1;
1219.99.2.6.00.00;DEM.CONT.SOC.NÃO ARREC.NÃO PROJ.RFB-PARC.-JUROS;7;;121999260000;DEMAIS CONTRIBUIÇÕES SOCIAIS NÃO ARRECADADAS E NÃO PROJETADAS PELA RFB – PARCELAMENTOS – JUROS COM DESTINAÇÃO DIFERENCIADA POR LEGISLAÇÃO PERTINENTE;S;A;S;1219.99.2.6.00.00;;;;;1000.00.0.0.00.00;1200.00.0.0.00.00;1210.00.0.0.00.00;1219.00.0.0.00.00;1219.99.0.0.00.00;1219.99.2.0.00.00;1219.99.2.6.00.00;1219.99.2.6.00.00;1219.99.2.6.00.00;;;;;;24000000000000628;1;
1219.99.2.7.00.00;DEM.CONT.SOC.NÃO ARREC.NÃO PROJ.RFB-PARC.-D.ATIVA MULTAS;7;;121999270000;DEMAIS CONTRIBUIÇÕES SOCIAIS NÃO ARRECADADAS E NÃO PROJETADAS PELA RFB – PARCELAMENTOS – DÍVIDA ATIVA – MULTAS COM DESTINAÇÃO DIFERENCIADA POR LEGISLAÇÃO PERTINENTE;S;A;S;1219.99.2.7.00.00;;;;;1000.00.0.0.00.00;1200.00.0.0.00.00;1210.00.0.0.00.00;1219.00.0.0.00.00;1219.99.0.0.00.00;1219.99.2.0.00.00;1219.99.2.7.00.00;1219.99.2.7.00.00;1219.99.2.7.00.00;;;;;;24000000000000629;1;
1219.99.2.8.00.00;DEM.CONT.SOC.NÃO ARREC.NÃO PROJ.RFB-PARC.-D.ATIVA JUROS;7;;121999280000;DEMAIS CONTRIBUIÇÕES SOCIAIS NÃO ARRECADADAS E NÃO PROJETADAS PELA RFB – PARCELAMENTOS – DÍVIDA ATIVA – JUROS COM DESTINAÇÃO DIFERENCIADA POR LEGISLAÇÃO PERTINENTE;S;A;S;1219.99.2.8.00.00;;;;;1000.00.0.0.00.00;1200.00.0.0.00.00;1210.00.0.0.00.00;1219.00.0.0.00.00;1219.99.0.0.00.00;1219.99.2.0.00.00;1219.99.2.8.00.00;1219.99.2.8.00.00;1219.99.2.8.00.00;;;;;;24000000000000630;1;
1220.00.0.0.00.00;CONTRIBUIÇÕES ECONÔMICAS;3;;122000000000;CONTRIBUIÇÕES ECONÔMICAS;S;S;S;1220.00.0.0.00.00;;;;;1000.00.0.0.00.00;1200.00.0.0.00.00;1220.00.0.0.00.00;1220.00.0.0.00.00;1220.00.0.0.00.00;1220.00.0.0.00.00;1220.00.0.0.00.00;1220.00.0.0.00.00;1220.00.0.0.00.00;;;;;;24000000000000631;1;
1221.00.0.0.00.00;CONTRIBUIÇÕES ECONÔMICAS;4;;122100000000;OUTRAS CONTRIBUIÇÕES ECONÔMICAS;S;S;S;1221.00.0.0.00.00;;;;;1000.00.0.0.00.00;1200.00.0.0.00.00;1220.00.0.0.00.00;1221.00.0.0.00.00;1221.00.0.0.00.00;1221.00.0.0.00.00;1221.00.0.0.00.00;1221.00.0.0.00.00;1221.00.0.0.00.00;;;;;;24000000000000632;1;
1221.99.0.0.00.00;OUTRAS CONTRIBUIÇÕES ECONÔMICAS;5;;122199000000;OUTRAS CONTRIBUIÇÕES ECONÔMICAS;S;S;S;1221.99.0.0.00.00;;;;;1000.00.0.0.00.00;1200.00.0.0.00.00;1220.00.0.0.00.00;1221.00.0.0.00.00;1221.99.0.0.00.00;1221.99.0.0.00.00;1221.99.0.0.00.00;1221.99.0.0.00.00;1221.99.0.0.00.00;;;;;;24000000000000633;1;
1221.99.1.0.00.00;OUTRAS CONTRIB.ECON.-NÃO ARREC.NÃO PROJETADAS RFB;6;;122199100000;OUTRAS CONTRIBUIÇÕES ECONÔMICAS – NÃO ARRECADADAS E NÃO PROJETADAS PELA RFB;S;S;S;1221.99.1.0.00.00;;;;;1000.00.0.0.00.00;1200.00.0.0.00.00;1220.00.0.0.00.00;1221.00.0.0.00.00;1221.99.0.0.00.00;1221.99.1.0.00.00;1221.99.1.0.00.00;1221.99.1.0.00.00;1221.99.1.0.00.00;;;;;;24000000000000634;1;
1221.99.1.1.00.00;OUTR.CONTRIB.ECON.-NÃO ARREC.NÃO PROJ.RFB-;7;;122199110000;OUTRAS CONTRIBUIÇÕES ECONÔMICAS – NÃO ARRECADADAS E NÃO PROJETADAS PELA RFB – PRINCIPAL;S;A;S;1221.99.1.1.00.00;;;;;1000.00.0.0.00.00;1200.00.0.0.00.00;1220.00.0.0.00.00;1221.00.0.0.00.00;1221.99.0.0.00.00;1221.99.1.0.00.00;1221.99.1.1.00.00;1221.99.1.1.00.00;1221.99.1.1.00.00;;;;;;24000000000000635;1;
1221.99.1.2.00.00;OUTR.CONTRIB.ECON.-NÃO ARREC.NÃO PROJ.RFB-MULTAS JUROS;7;;122199120000;OUTRAS CONTRIBUIÇÕES ECONÔMICAS – NÃO ARRECADADAS E NÃO PROJETADAS PELA RFB – MULTAS E JUROS;S;A;S;1221.99.1.2.00.00;;;;;1000.00.0.0.00.00;1200.00.0.0.00.00;1220.00.0.0.00.00;1221.00.0.0.00.00;1221.99.0.0.00.00;1221.99.1.0.00.00;1221.99.1.2.00.00;1221.99.1.2.00.00;1221.99.1.2.00.00;;;;;;24000000000000636;1;
1221.99.1.3.00.00;OUTR.CONTRIB.ECON.-NÃO ARREC.NÃO PROJ.RFB-DÍVIDA ATIVA;7;;122199130000;OUTRAS CONTRIBUIÇÕES ECONÔMICAS – NÃO ARRECADADAS E NÃO PROJETADAS PELA RFB – DÍVIDA ATIVA;S;A;S;1221.99.1.3.00.00;;;;;1000.00.0.0.00.00;1200.00.0.0.00.00;1220.00.0.0.00.00;1221.00.0.0.00.00;1221.99.0.0.00.00;1221.99.1.0.00.00;1221.99.1.3.00.00;1221.99.1.3.00.00;1221.99.1.3.00.00;;;;;;24000000000000637;1;
1221.99.1.4.00.00;OUTR.CONTRIB.ECON.-NÃO ARREC.NÃO PROJ.RFB-D.ATIVA M/JUROS;7;;122199140000;OUTRAS CONTRIBUIÇÕES ECONÔMICAS – NÃO ARRECADADAS E NÃO PROJETADAS PELA RFB – DÍVIDA ATIVA – MULTAS E JUROS;S;A;S;1221.99.1.4.00.00;;;;;1000.00.0.0.00.00;1200.00.0.0.00.00;1220.00.0.0.00.00;1221.00.0.0.00.00;1221.99.0.0.00.00;1221.99.1.0.00.00;1221.99.1.4.00.00;1221.99.1.4.00.00;1221.99.1.4.00.00;;;;;;24000000000000638;1;
1221.99.1.5.00.00;OUTR.CONTRIB.ECON.-NÃO ARREC.NÃO PROJ.RFB-MULTAS;7;;122199150000;OUTRAS CONTRIBUIÇÕES ECONÔMICAS – NÃO ARRECADADAS E NÃO PROJETADAS PELA RFB – MULTAS COM DESTINAÇÃO DIFERENCIADA POR LEGISLAÇÃO PERTINENTE;S;A;S;1221.99.1.5.00.00;;;;;1000.00.0.0.00.00;1200.00.0.0.00.00;1220.00.0.0.00.00;1221.00.0.0.00.00;1221.99.0.0.00.00;1221.99.1.0.00.00;1221.99.1.5.00.00;1221.99.1.5.00.00;1221.99.1.5.00.00;;;;;;24000000000000639;1;
1221.99.1.6.00.00;OUTR.CONTRIB.ECON.-NÃO ARREC.NÃO PROJ.RFB-JUROS;7;;122199160000;OUTRAS CONTRIBUIÇÕES ECONÔMICAS – NÃO ARRECADADAS E NÃO PROJETADAS PELA RFB – JUROS COM DESTINAÇÃO DIFERENCIADA POR LEGISLAÇÃO PERTINENTE;S;A;S;1221.99.1.6.00.00;;;;;1000.00.0.0.00.00;1200.00.0.0.00.00;1220.00.0.0.00.00;1221.00.0.0.00.00;1221.99.0.0.00.00;1221.99.1.0.00.00;1221.99.1.6.00.00;1221.99.1.6.00.00;1221.99.1.6.00.00;;;;;;24000000000000640;1;
1221.99.1.7.00.00;OUTR.CONTRIB.ECON.-NÃO ARREC.NÃO PROJ.RFB-D.ATIVA MULTAS;7;;122199170000;OUTRAS CONTRIBUIÇÕES ECONÔMICAS – NÃO ARRECADADAS E NÃO PROJETADAS PELA RFB – DÍVIDA ATIVA – MULTAS COM DESTINAÇÃO DIFERENCIADA POR LEGISLAÇÃO PERTINENTE;S;A;S;1221.99.1.7.00.00;;;;;1000.00.0.0.00.00;1200.00.0.0.00.00;1220.00.0.0.00.00;1221.00.0.0.00.00;1221.99.0.0.00.00;1221.99.1.0.00.00;1221.99.1.7.00.00;1221.99.1.7.00.00;1221.99.1.7.00.00;;;;;;24000000000000641;1;
1221.99.1.8.00.00;OUTR.CONTRIB.ECON.-NÃO ARREC.NÃO PROJ.RFB-D.ATIVA JUROS;7;;122199180000;OUTRAS CONTRIBUIÇÕES ECONÔMICAS – NÃO ARRECADADAS E NÃO PROJETADAS PELA RFB – DÍVIDA ATIVA – JUROS COM DESTINAÇÃO DIFERENCIADA POR LEGISLAÇÃO PERTINENTE;S;A;S;1221.99.1.8.00.00;;;;;1000.00.0.0.00.00;1200.00.0.0.00.00;1220.00.0.0.00.00;1221.00.0.0.00.00;1221.99.0.0.00.00;1221.99.1.0.00.00;1221.99.1.8.00.00;1221.99.1.8.00.00;1221.99.1.8.00.00;;;;;;24000000000000642;1;
1240.00.0.0.00.00;CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA;3;;124000000000;CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA;S;S;S;1240.00.0.0.00.00;;;;;1000.00.0.0.00.00;1200.00.0.0.00.00;1240.00.0.0.00.00;1240.00.0.0.00.00;1240.00.0.0.00.00;1240.00.0.0.00.00;1240.00.0.0.00.00;1240.00.0.0.00.00;1240.00.0.0.00.00;;;;;;24000000000000643;1;
1241.00.0.0.00.00;CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA;4;;124100000000;CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA;S;S;S;1241.00.0.0.00.00;;;;;1000.00.0.0.00.00;1200.00.0.0.00.00;1240.00.0.0.00.00;1241.00.0.0.00.00;1241.00.0.0.00.00;1241.00.0.0.00.00;1241.00.0.0.00.00;1241.00.0.0.00.00;1241.00.0.0.00.00;;;;;;24000000000000644;1;
1241.50.0.0.00.00;CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA;5;;124150000000;CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA;S;S;S;1241.50.0.0.00.00;;;;;1000.00.0.0.00.00;1200.00.0.0.00.00;1240.00.0.0.00.00;1241.00.0.0.00.00;1241.50.0.0.00.00;1241.50.0.0.00.00;1241.50.0.0.00.00;1241.50.0.0.00.00;1241.50.0.0.00.00;;;;;;24000000000000645;1;
1241.50.0.1.00.00;CONTRIB.SERV.ILUMINAÇÃO PÚBLICA-PRINCIPAL;7;;124150010000;CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA – PRINCIPAL;S;A;S;1241.50.0.1.00.00;;;;;1000.00.0.0.00.00;1200.00.0.0.00.00;1240.00.0.0.00.00;1241.00.0.0.00.00;1241.50.0.0.00.00;1241.50.0.0.00.00;1241.50.0.1.00.00;1241.50.0.1.00.00;1241.50.0.1.00.00;;S;;12415001;;24000000000000646;1;
1241.50.0.1.01.00;Contr.p/Custeio do Serviço de Iluminação Pública;8;;124150010100;Contr.p/Custeio do Serviço de Iluminação Pública;S;A;N;1241.50.0.1.00.00;;;;;1000.00.0.0.00.00;1200.00.0.0.00.00;1240.00.0.0.00.00;1241.00.0.0.00.00;1241.50.0.0.00.00;1241.50.0.0.00.00;1241.50.0.1.00.00;1241.50.0.1.01.00;1241.50.0.1.01.00;;;;;;24000000000000029;1;
1241.50.0.2.00.00;CONTRIB.SERV.ILUMINAÇÃO PÚBLICA-MULTAS JUROS;7;;124150020000;CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA – MULTAS E JUROS;S;A;S;1241.50.0.2.00.00;;;;;1000.00.0.0.00.00;1200.00.0.0.00.00;1240.00.0.0.00.00;1241.00.0.0.00.00;1241.50.0.0.00.00;1241.50.0.0.00.00;1241.50.0.2.00.00;1241.50.0.2.00.00;1241.50.0.2.00.00;;;;;;24000000000000647;1;
1241.50.0.3.00.00;CONTRIB.SERV.ILUMINAÇÃO PÚBLICA-DÍVIDA ATIVA;7;;124150030000;CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA – DÍVIDA ATIVA;S;A;S;1241.50.0.3.00.00;;;;;1000.00.0.0.00.00;1200.00.0.0.00.00;1240.00.0.0.00.00;1241.00.0.0.00.00;1241.50.0.0.00.00;1241.50.0.0.00.00;1241.50.0.3.00.00;1241.50.0.3.00.00;1241.50.0.3.00.00;;;;;;24000000000000648;1;
1241.50.0.4.00.00;CONTRIB.SERV.ILUMINAÇÃO PÚBLICA-D.ATIVA M/JUROS;7;;124150040000;CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA – DÍVIDA ATIVA – MULTAS E JUROS;S;A;S;1241.50.0.4.00.00;;;;;1000.00.0.0.00.00;1200.00.0.0.00.00;1240.00.0.0.00.00;1241.00.0.0.00.00;1241.50.0.0.00.00;1241.50.0.0.00.00;1241.50.0.4.00.00;1241.50.0.4.00.00;1241.50.0.4.00.00;;;;;;24000000000000649;1;
1241.50.0.5.00.00;CONTRIB.SERV.ILUMINAÇÃO PÚBLICA-MULTAS;7;;124150050000;CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA – MULTAS COM DESTINAÇÃO DIFERENCIADA POR LEGISLAÇÃO PERTINENTE;S;A;S;1241.50.0.5.00.00;;;;;1000.00.0.0.00.00;1200.00.0.0.00.00;1240.00.0.0.00.00;1241.00.0.0.00.00;1241.50.0.0.00.00;1241.50.0.0.00.00;1241.50.0.5.00.00;1241.50.0.5.00.00;1241.50.0.5.00.00;;;;;;24000000000000650;1;
1241.50.0.6.00.00;CONTRIB.SERV.ILUMINAÇÃO PÚBLICA-JUROS;7;;124150060000;CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA – JUROS COM DESTINAÇÃO DIFERENCIADA POR LEGISLAÇÃO PERTINENTE;S;A;S;1241.50.0.6.00.00;;;;;1000.00.0.0.00.00;1200.00.0.0.00.00;1240.00.0.0.00.00;1241.00.0.0.00.00;1241.50.0.0.00.00;1241.50.0.0.00.00;1241.50.0.6.00.00;1241.50.0.6.00.00;1241.50.0.6.00.00;;;;;;24000000000000651;1;
1241.50.0.7.00.00;CONTRIB.SERV.ILUMINAÇÃO PÚBLICA-D.ATIVA MULTAS;7;;124150070000;CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA – DÍVIDA ATIVA – MULTAS COM DESTINAÇÃO DIFERENCIADA POR LEGISLAÇÃO PERTINENTE;S;A;S;1241.50.0.7.00.00;;;;;1000.00.0.0.00.00;1200.00.0.0.00.00;1240.00.0.0.00.00;1241.00.0.0.00.00;1241.50.0.0.00.00;1241.50.0.0.00.00;1241.50.0.7.00.00;1241.50.0.7.00.00;1241.50.0.7.00.00;;;;;;24000000000000652;1;
1241.50.0.8.00.00;CONTRIB.SERV.ILUMINAÇÃO PÚBLICA-D.ATIVA JUROS;7;;124150080000;CONTRIBUIÇÃO PARA O CUSTEIO DO SERVIÇO DE ILUMINAÇÃO PÚBLICA – DÍVIDA ATIVA – JUROS COM DESTINAÇÃO DIFERENCIADA POR LEGISLAÇÃO PERTINENTE;S;A;S;1241.50.0.8.00.00;;;;;1000.00.0.0.00.00;1200.00.0.0.00.00;1240.00.0.0.00.00;1241.00.0.0.00.00;1241.50.0.0.00.00;1241.50.0.0.00.00;1241.50.0.8.00.00;1241.50.0.8.00.00;1241.50.0.8.00.00;;;;;;24000000000000653;1;
1300.00.0.0.00.00;RECEITA PATRIMONIAL;2;;130000000000;RECEITA PATRIMONIAL;S;S;S;1300.00.0.0.00.00;;;;;1000.00.0.0.00.00;1300.00.0.0.00.00;1300.00.0.0.00.00;1300.00.0.0.00.00;1300.00.0.0.00.00;1300.00.0.0.00.00;1300.00.0.0.00.00;1300.00.0.0.00.00;1300.00.0.0.00.00;;;;;;24000000000000654;1;
1310.00.0.0.00.00;EXPLORAÇÃO DO PATRIMÔNIO IMOBILIÁRIO DO ESTADO;3;;131000000000;EXPLORAÇÃO DO PATRIMÔNIO IMOBILIÁRIO DO ESTADO;S;S;S;1310.00.0.0.00.00;;;;;1000.00.0.0.00.00;1300.00.0.0.00.00;1310.00.0.0.00.00;1310.00.0.0.00.00;1310.00.0.0.00.00;1310.00.0.0.00.00;1310.00.0.0.00.00;1310.00.0.0.00.00;1310.00.0.0.00.00;;;;;;24000000000000655;1;
1311.00.0.0.00.00;EXPLORAÇÃO DO PATRIMÔNIO IMOBILIÁRIO DO ESTADO;4;;131100000000;EXPLORAÇÃO DO PATRIMÔNIO IMOBILIÁRIO DO ESTADO;S;S;S;1311.00.0.0.00.00;;;;;1000.00.0.0.00.00;1300.00.0.0.00.00;1310.00.0.0.00.00;1311.00.0.0.00.00;1311.00.0.0.00.00;1311.00.0.0.00.00;1311.00.0.0.00.00;1311.00.0.0.00.00;1311.00.0.0.00.00;;;;;;24000000000000656;1;
1311.01.0.0.00.00;ALUGUÉIS, ARRENDAMENTOS, FOROS, LAUDÊMIOS, TARIFAS DE OCUPAÇ;5;;131101000000;ALUGUÉIS, ARRENDAMENTOS, FOROS, LAUDÊMIOS, TARIFAS DE OCUPAÇÃO;S;S;S;1311.01.0.0.00.00;;;;;1000.00.0.0.00.00;1300.00.0.0.00.00;1310.00.0.0.00.00;1311.00.0.0.00.00;1311.01.0.0.00.00;1311.01.0.0.00.00;1311.01.0.0.00.00;1311.01.0.0.00.00;1311.01.0.0.00.00;;;;;;24000000000000657;1;
1311.01.1.0.00.00;ALUGUÉIS E ARRENDAMENTOS;6;;131101100000;ALUGUÉIS E ARRENDAMENTOS;S;S;S;1311.01.1.0.00.00;;;;;1000.00.0.0.00.00;1300.00.0.0.00.00;1310.00.0.0.00.00;1311.00.0.0.00.00;1311.01.0.0.00.00;1311.01.1.0.00.00;1311.01.1.0.00.00;1311.01.1.0.00.00;1311.01.1.0.00.00;;;;;;24000000000000658;1;
1311.01.1.1.00.00;ALUGUÉIS E ARRENDAMENTOS - PRINCIPAL;7;;131101110000;ALUGUÉIS E ARRENDAMENTOS – PRINCIPAL;S;A;S;1311.01.1.1.00.00;;;;;1000.00.0.0.00.00;1300.00.0.0.00.00;1310.00.0.0.00.00;1311.00.0.0.00.00;1311.01.0.0.00.00;1311.01.1.0.00.00;1311.01.1.1.00.00;1311.01.1.1.00.00;1311.01.1.1.00.00;;S;;13110111;;24000000000000659;1;
1311.01.1.1.01.00;Aluguéis de Imóveis Urbanos;8;;131101110100;Aluguéis de Imóveis Urbanos;S;A;N;1311.01.1.1.00.00;;;;;1000.00.0.0.00.00;1300.00.0.0.00.00;1310.00.0.0.00.00;1311.00.0.0.00.00;1311.01.0.0.00.00;1311.01.1.0.00.00;1311.01.1.1.00.00;1311.01.1.1.01.00;1311.01.1.1.01.00;;;;;;24000000000000030;1;
1311.01.1.2.00.00;ALUGUÉIS E ARRENDAMENTOS - MULTAS JUROS;7;;131101120000;ALUGUÉIS E ARRENDAMENTOS – MULTAS E JUROS;S;A;S;1311.01.1.2.00.00;;;;;1000.00.0.0.00.00;1300.00.0.0.00.00;1310.00.0.0.00.00;1311.00.0.0.00.00;1311.01.0.0.00.00;1311.01.1.0.00.00;1311.01.1.2.00.00;1311.01.1.2.00.00;1311.01.1.2.00.00;;;;;;24000000000000660;1;
1311.01.1.3.00.00;ALUGUÉIS E ARRENDAMENTOS - DÍVIDA ATIVA;7;;131101130000;ALUGUÉIS E ARRENDAMENTOS – DÍVIDA ATIVA;S;A;S;1311.01.1.3.00.00;;;;;1000.00.0.0.00.00;1300.00.0.0.00.00;1310.00.0.0.00.00;1311.00.0.0.00.00;1311.01.0.0.00.00;1311.01.1.0.00.00;1311.01.1.3.00.00;1311.01.1.3.00.00;1311.01.1.3.00.00;;;;;;24000000000000661;1;
1311.01.1.4.00.00;ALUGUÉIS E ARRENDAMENTOS - DÍVIDA ATIVA MULTAS JUROS;7;;131101140000;ALUGUÉIS E ARRENDAMENTOS – DÍVIDA ATIVA – MULTAS E JUROS;S;A;S;1311.01.1.4.00.00;;;;;1000.00.0.0.00.00;1300.00.0.0.00.00;1310.00.0.0.00.00;1311.00.0.0.00.00;1311.01.0.0.00.00;1311.01.1.0.00.00;1311.01.1.4.00.00;1311.01.1.4.00.00;1311.01.1.4.00.00;;;;;;24000000000000662;1;
1311.01.1.5.00.00;ALUGUÉIS E ARRENDAMENTOS - MULTAS;7;;131101150000;ALUGUÉIS E ARRENDAMENTOS – MULTAS COM DESTINAÇÃO DIFERENCIADA POR LEGISLAÇÃO PERTINENTE;S;A;S;1311.01.1.5.00.00;;;;;1000.00.0.0.00.00;1300.00.0.0.00.00;1310.00.0.0.00.00;1311.00.0.0.00.00;1311.01.0.0.00.00;1311.01.1.0.00.00;1311.01.1.5.00.00;1311.01.1.5.00.00;1311.01.1.5.00.00;;;;;;24000000000000663;1;
1311.01.1.6.00.00;ALUGUÉIS E ARRENDAMENTOS - JUROS;7;;131101160000;ALUGUÉIS E ARRENDAMENTOS – JUROS COM DESTINAÇÃO DIFERENCIADA POR LEGISLAÇÃO PERTINENTE;S;A;S;1311.01.1.6.00.00;;;;;1000.00.0.0.00.00;1300.00.0.0.00.00;1310.00.0.0.00.00;1311.00.0.0.00.00;1311.01.0.0.00.00;1311.01.1.0.00.00;1311.01.1.6.00.00;1311.01.1.6.00.00;1311.01.1.6.00.00;;;;;;24000000000000664;1;
1311.01.1.7.00.00;ALUGUÉIS E ARRENDAMENTOS - DÍVIDA ATIVA MULTAS;7;;131101170000;ALUGUÉIS E ARRENDAMENTOS – DÍVIDA ATIVA – MULTAS COM DESTINAÇÃO DIFERENCIADA POR LEGISLAÇÃO PERTINENTE;S;A;S;1311.01.1.7.00.00;;;;;1000.00.0.0.00.00;1300.00.0.0.00.00;1310.00.0.0.00.00;1311.00.0.0.00.00;1311.01.0.0.00.00;1311.01.1.0.00.00;1311.01.1.7.00.00;1311.01.1.7.00.00;1311.01.1.7.00.00;;;;;;24000000000000665;1;
1311.01.1.8.00.00;ALUGUÉIS E ARRENDAMENTOS - DÍVIDA ATIVA JUROS;7;;131101180000;ALUGUÉIS E ARRENDAMENTOS – DÍVIDA ATIVA – JUROS COM DESTINAÇÃO DIFERENCIADA POR LEGISLAÇÃO PERTINENTE;S;A;S;1311.01.1.8.00.00;;;;;1000.00.0.0.00.00;1300.00.0.0.00.00;1310.00.0.0.00.00;1311.00.0.0.00.00;1311.01.0.0.00.00;1311.01.1.0.00.00;1311.01.1.8.00.00;1311.01.1.8.00.00;1311.01.1.8.00.00;;;;;;24000000000000666;1;
1311.01.2.0.00.00;FOROS, LAUDÊMIOS E TARIFAS DE OCUPAÇÃO;6;;131101200000;FOROS, LAUDÊMIOS E TARIFAS DE OCUPAÇÃO;S;S;S;1311.01.2.0.00.00;;;;;1000.00.0.0.00.00;1300.00.0.0.00.00;1310.00.0.0.00.00;1311.00.0.0.00.00;1311.01.0.0.00.00;1311.01.2.0.00.00;1311.01.2.0.00.00;1311.01.2.0.00.00;1311.01.2.0.00.00;;;;;;24000000000000667;1;
